job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state
1048,2928,4,287915547293806592,q=%40repjacksonlee,,0,01/06/2013 13:36:47,2
1049,2940,1,287463924184522752,q=%40randyneugebauer,,19,01/05/2013 15:00:13,2
1050,4248,2,287963742145232896,q=%40friendsofrandy,,0,01/06/2013 16:48:17,2
1051,3672,1,287299016113393666,q=%40tx20charlieg,,23,01/05/2013 13:12:04,2
1052,2136,1,287812212830117892,q=%40lamarsmithtx21,,9,01/06/2013 11:12:03,2
1053,2142,1,288107935261921280,q=%40peteolson,,4,01/07/2013 11:06:03,2
1054,3684,4,287592868019843074,q=%40olsonpressshop,,12,01/05/2013 17:24:48,2
1055,2160,1,288159303393767424,q=%40repcanseco,,13,01/07/2013 12:00:05,2
1056,4320,4,286923553104863233,q=%40cansecotx23,,1,01/06/2013 00:00:51,2
1057,927,3,287990515901816832,q=%40repkenmarchant,,4,01/07/2013 00:09:33,2
1058,4344,1,287637552712781824,q=%40marchantfortx24,,0,01/05/2013 19:12:05,2
1059,4356,2,288018118280888320,q=%40replloyddogget,,0,01/06/2013 20:24:20,2
1060,4368,2,287210897485729792,q=%40lloyddoggetttx,,0,01/04/2013 15:12:17,2
1061,2190,4,287970607180697600,q=%40michaelcburgess,,14,01/06/2013 17:30:48,2
1062,750,3,288199599338950656,q=%40farenthold,,4,01/07/2013 12:00:35,2
1063,696,4,288145089337909248,q=%40repcuellar,,0,01/07/2013 04:48:52,2
1064,2796,3,287763211137208320,q=%40repgenegreen,,2,01/06/2013 23:12:34,2
1065,3708,3,287371923703353344,q=%40repebj,,123,01/05/2013 01:48:36,2
1066,309,4,288164334864044032,q=%40judgecarter,,1,01/07/2013 10:27:46,2
1067,933,2,288284116477153280,q=%40petesessions,,2,01/07/2013 15:03:16,2
1068,78,4,288294556062072832,q=%40repjimmatheson,,0,01/07/2013 14:42:48,2
1069,186,4,288290068358119425,q=%40jasoninthehouse,,9,01/07/2013 14:36:47,2
1070,2244,2,287679466363289601,q=%40delegatedonna,,9,01/06/2013 02:48:17,2
1071,2748,2,287741782916214784,q=%40robwittman,Official account of republican incumbent in VA-1,9,01/06/2013 07:24:16,2
1072,2754,2,287767142613524480,q=%40repscottrigell,Official account of republican incumbent in VA-2,17,01/06/2013 04:30:20,2
1073,5520,4,286985455105368064,q=%40teamrigell,Campaign account of republican incumbent in VA-2,0,01/04/2013 00:00:53,2
1074,453,4,288214589164896256,q=%40randy_forbes,,2,01/07/2013 11:51:46,2
1075,5544,1,287691424223346688,q=%40reprandyforbes,,6,01/06/2013 20:24:07,2
1076,5556,4,287096287369768960,q=%40roberthurt,,2,01/06/2013 03:12:51,2
1077,2676,2,288139716476403712,q=%40reproberthurt,,32,01/07/2013 05:00:22,2
1078,327,4,288234700596736002,q=%40repgoodlatte,,1,01/07/2013 13:51:47,2
1079,97,4,288283011303219200,q=%40gopleader,,13,01/07/2013 14:03:47,2
1080,30,3,288298253684965379,q=%40ericcantor,,5,01/07/2013 15:00:36,2
1081,822,2,287958836491476992,q=%40cantorpress,,1,01/07/2013 04:30:18,2
